"taxon" "IntDi" "rank IntDi" "decile" "Sci" "PCoA1" "PCoA2" "region identifier" "result.code" "result.category" "extinction.risk" "habitat" "feeding.mode" "tl" "offspring.size" "spawning.type" "age.maturity" "fecundity" "length.infinity" "length.max" "length.maturity" "growth.coefficient"
"122" "Harriotta_raleighana" 0.1385 152 4 0.99987 -0.01012 0.01102 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.55 125 "non-guarder" 5.7937333100686 27 96.39969505 120 69.3 0.161174921
"123" "Helicolenus_dactylopterus" 0.13469 124 3 0.85064 -0.02227 -0.04233 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.54 2.8 "non-guarder" 13 230055 34.10000038 32.5 29 0.097999997
"124" "Hippoglossoides_platessoides" 0.12792 79 2 0.16149 -0.03855 -0.01887 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.08 2.01 "non-guarder" 7.620909084 762611 69.43333244 82.6 29.7666666666667 0.095222865
"125" "Hoplostethus_atlanticus" 0.15569 254 6 0.99981 -0.06488 -0.06912 "europe" "VU" "Vulnerable" 2 "bathypelagic" "generalist" 4.25 2.25 "non-guarder" 15.75 132465 53.54058329 67 31.4 0.054661848
"126" "Hydrolagus_affinis" 0.1498 220 6 0.99997 -0.08305 -0.04973 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 4 150 "non-guarder" 12 19 87.5 130 55.4506799410718 0.20616094
"127" "Hydrolagus_mirabilis" 0.14483 190 5 0.99982 -0.06825 -0.0484 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.94 150 "non-guarder" 12 19 93.2273536343602 41 55.4506799410718 0.20616094
"128" "Hydrolagus_pallidus" 0.14685 203 5 0.99999 -0.0673 -0.04439 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.79 150 "non-guarder" 12 19 87.5 117.6999969 75 0.20616094
"129" "Hygophum_benoiti" 0.16306 281 7 0.99999 0.07678 -0.03354 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3 0.7 "non-guarder" 0.533333331 882 9.075000048 4.5 4.5 0.384722574
"130" "Hymenocephalus_italicus" 0.14171 172 4 0.99995 -0.00024 -0.03607 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.4 1.5 "non-guarder" 12.4000001 29976 5.5 5.3 2.7 0.106179011
"131" "Hyperoplus_lanceolatus" 0.12177 39 1 0.70031 -0.00797 -0.02369 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.98 0.94 "non-guarder" 2 13133 29.79999924 40 19.1767928884114 0.400000006
"132" "Labrus_bergylta" 0.17377 336 8 0.99955 0.06321 0.08552 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 3.2 1 "guarder" 2 160631 42.60000102 51 27.1160956728246 0.115056237
"133" "Labrus_mixtus" 0.16945 313 8 0.99947 0.00861 0.07607 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 3.91 1 "guarder" 2 160631 38.5 40 16 0.10976339
"134" "Lamna_nasus" 0.29404 417 10 0.99999 -0.23501 0.09338 "europe" "CR" "Critically Endangered" 2 "pelagic" "piscivorous" 4.57 670 "bearer" 13.5 3 306.3333333 329 160 0.0819392
"135" "Lampetra_fluviatilis" 0.15198 236 6 0.99975 -0.04716 0.0099 "europe" "LC" "Least Concern" 1 "demersal" "piscivorous" 4.5 0.61 "non-guarder" 4 23250 25.607607609861 45.2 35.85 0.164000005
"136" "Lepadogaster_lepadogaster" 0.188 365 9 0.99999 0.12161 0.11591 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 2.78 1.85 "guarder" 0.886249576019591 195 7.61078333638864 6.5 4.72818251333594 0.794946033
"137" "Lepidion_eques" 0.14493 193 5 0.99702 0.04145 0.00717 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.24 0.98 "non-guarder" 8.5 6e+07 42.59999847 42 30.15 0.150000006
"138" "Lepidopus_caudatus" 0.14726 206 5 0.99205 -0.06079 -0.04105 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.82 1.6 "non-guarder" 4.5 213500 150.600001 164 104 0.167016848
"139" "Lepidorhombus_boscii" 0.12355 52 2 0.9908 0.0348 0.01726 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.74 1.1 "non-guarder" 1 5e+07 40.75 35 17 0.139109489
"140" "Lepidorhombus_whiffiagonis" 0.14869 211 5 0.9198 -0.03599 -0.01026 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 4.34 1.1 "non-guarder" 2.833333333 5e+07 57.54999924 47 24.35 0.1244247
"141" "Lepidotrigla_cavillone" 0.12219 44 2 0.99864 0.04098 -0.0182 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.33 1.3 "non-guarder" 2 250000 15.82500005 16 8 0.371678891
"142" "Lepidotrigla_dieuzeidei" 0.11813 22 1 0.99967 0.01802 -0.02053 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.66 1.3 "non-guarder" 2 250000 17.5 20 12 0.371678891
"143" "Leptagonus_decagonus" 0.12473 59 2 0.99999 0.0442 -0.01736 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.21 2 "non-guarder" 3 1197 16.27250004 19.1 11.6 0.327370858
"144" "Lesueurigobius_friesii" 0.15686 261 7 0.99199 0.07104 0.09166 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.55 1.8 "guarder" 1.3 6500 10.7 9 6.5 0.699999988
"145" "Lesueurigobius_sanzi" 0.15636 258 7 0.99998 0.07029 0.09128 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.55 1.8 "guarder" 2 6500 6.5 11 6.73579403766134 0.699999988
"146" "Leuciscus_leuciscus" 0.14931 215 5 1 0.0572 0.0128 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 2.9 1.492 "non-guarder" 3.5 11875 34.75 40 17.06 0.144
"147" "Leucoraja_circularis" 0.12443 57 2 0.99978 0.02319 0.03391 "europe" "EN" "Endangered" 2 "demersal" "benthivorous" 3.5 60 "non-guarder" 5.3 48 98.8 120 51.2 0.130182642
"148" "Leucoraja_fullonica" 0.13499 126 3 0.99966 -0.00217 0.00867 "europe" "VU" "Vulnerable" 2 "bathydemersal" "benthivorous" 3.5 65 "non-guarder" 5.4 48 98.9 120 51.3 0.130182642
"149" "Leucoraja_naevus" 0.1344 120 3 0.98465 -0.02337 0.03226 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 4.21 50 "non-guarder" 8.5 63 75.19999695 71 56.9 0.159999996
"150" "Limanda_limanda" 0.11706 10 1 2e-05 0.05546 0.02201 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.39 1.2 "non-guarder" 2.649999976 236000 28.75 43.5 18.7675 0.25
"151" "Liparis_montagui" 0.12645 69 2 0.99953 0.07039 0.02203 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.45 1.11 "non-guarder" 1.3 700 9.9 12 6 0.681480884
"152" "Lipophrys_pholis" 0.16006 272 7 1 0.09027 0.09717 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.12 1.3 "guarder" 1 500 17 17 8 0.300000012
"153" "Lithognathus_mormyrus" 0.11652 7 1 0.9999 0.05143 0.02219 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.42 1.14 "non-guarder" 2.2 408380 36.29090916 55 17.12 0.212134083
"154" "Lophius_budegassa" 0.16938 312 8 0.99174 -0.10236 -0.02949 "europe" "LC" "Least Concern" 1 "bathydemersal" "piscivorous" 4.41 1.8 "non-guarder" 8.166666667 2e+07 97.75 93 66.2 0.089718899
"155" "Lophius_piscatorius" 0.17238 324 8 0.97669 -0.10757 -0.02651 "europe" "LC" "Least Concern" 1 "bathydemersal" "piscivorous" 4.45 2.7 "non-guarder" 4.5 1500000 162 140 61 0.100220927
"156" "Lota_lota" 0.12342 49 2 1 -0.02462 -0.01647 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.84 0.73 "non-guarder" 5 703839 88.66666667 110 49 0.126896697
"157" "Macrourus_berglax" 0.1399 162 4 0.99933 -0.00289 0.01518 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.57 1.5 "non-guarder" 12.4000001 43860 72.31111067 110 54.1333333333333 0.10048958
"158" "Malacocephalus_laevis" 0.13865 154 4 0.99792 -0.05008 -0.04789 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.79 1.5 "non-guarder" 14.80000019 29976 74.04999924 60 31.5409449905775 0.106179011
"159" "Malacosteus_niger" 0.13243 108 3 0.99999 0.00595 -0.06016 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.72 1.77 "non-guarder" 1.80611121918536 45000 27.5 25.6 11.09 0.41348326
"160" "Maurolicus_muelleri" 0.17469 341 8 0.94872 0.08795 -0.03628 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3.01 1.48 "non-guarder" 1 350 5.400000095 4.8 3.9 0.953008001
"161" "Melanogrammus_aeglefinus" 0.12226 46 2 2e-05 0.00052 0.02194 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 4.03 1.38 "non-guarder" 3.364545443 875571 70.20000076 75.5 35.8470588235294 0.243638238
"162" "Melanostomias_bartonbeani" 0.16742 304 8 1 -0.04288 -0.04146 "europe" "LC" "Least Concern" 1 "bathypelagic" "piscivorous" 4.5 1.77 "non-guarder" 1.80611121918536 45000 27.5 26.2 14.8295092441578 0.41348326
"163" "Merlangius_merlangus" 0.14597 196 5 0 -0.06256 -0.05126 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.36 1.14 "non-guarder" 1.539999992 381095 45.82336755 45.9 25.7428571428571 0.156169682
"164" "Merluccius_merluccius" 0.1392 156 4 0.48744 -0.05276 -0.02106 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.42 0.97 "non-guarder" 3.408749968 1834284.643 91.21666718 86 37.984 0.113435169
"165" "Microchirus_boscanion" 0.12865 85 2 0.99981 0.0743 0.02056 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.23 1.2 "non-guarder" 3 5e+07 34.20000076 20 18.0908808098063 0.288365115
"166" "Microchirus_variegatus" 0.1283 82 2 0.9237 0.07553 0.01975 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.28 1.2 "non-guarder" 3 5e+07 20.8014174615926 21 14 0.379236179
"167" "Micromesistius_poutassou" 0.13851 153 4 3e-05 -0.03419 -0.06605 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 4.13 1.16 "non-guarder" 1.929999971 122000 45 34 20.7166666666667 0.140000001
"168" "Microstomus_kitt" 0.12374 54 2 0.74336 0.06227 0.02564 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.21 1.29 "non-guarder" 4 95000 40.0220937784447 65 31.5 0.363178533
"169" "Molva_dypterygia" 0.15476 249 6 0.99881 -0.07572 -0.01584 "europe" "VU" "Vulnerable" 2 "demersal" "generalist" 4.49 1.05 "non-guarder" 7 703839 142.6666667 155 78.4 0.137194169
"170" "Molva_macrophthalma" 0.14882 212 5 0.99764 -0.0672 -0.01841 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.5 1.05 "non-guarder" 6.5 2500000 115.33583440009 108 62.5 0.121395453
"171" "Molva_molva" 0.18277 354 9 0.99071 -0.07509 -0.04088 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.4 1.05 "non-guarder" 6 2e+08 168 200 81.3333333333333 0.114159736
"172" "Monochirus_hispidus" 0.1236 53 2 0.99997 0.07192 0.02342 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.276666667 1.17 "non-guarder" 2.952307701 113750 13.4333334 13 7.66666666666667 0.387132126
"173" "Mora_moro" 0.14317 181 5 0.99942 -0.00453 0.0026 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.75 0.98 "non-guarder" 10.5 6e+07 64.45000076 71.5 33 0.095180283
"174" "Mugil_cephalus" 0.1741 339 8 1 0.01889 -0.04472 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 2.48 0.78 "non-guarder" 4 2980428 59.845388081053 100 33.3333333333333 0.28063976
"175" "Mustelus_asterias" 0.17103 321 8 0.98865 -0.02955 0.13003 "europe" "NT" "Near Threatened" 1 "demersal" "benthivorous" 3.676 300 "bearer" 5 11 113.5999985 140 80 0.167449083
"176" "Mustelus_mustelus" 0.19405 371 9 0.99884 -0.09362 0.07825 "europe" "VU" "Vulnerable" 2 "demersal" "generalist" 3.75 390 "bearer" 13.5 9.5 175 164 107.15 0.082359178
"177" "Myctophum_punctatum" 0.14679 202 5 0.9999 0.05187 -0.03319 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3.390000105 0.5 "non-guarder" 0.533333331 800 9.75 11 3.33 0.229113984
"178" "Myliobatis_aquila" 0.18835 366 9 0.99997 -0.0882 0.03747 "europe" "VU" "Vulnerable" 2 "benthopelagic" "generalist" 3.61 275 "bearer" 3 5 206 183 50 0.143091056
"179" "Myxine_glutinosa" 0.14276 176 5 0.98362 -0.0182 0.03014 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 4.54 5 "non-guarder" 2.7 25 65.9 79 25 0.123000003
"180" "Naucrates_ductor" 0.20122 379 9 1 0.0134 -0.04652 "europe" "LC" "Least Concern" 1 "reef-associated" "planktivorous" 3.98 1.14 "non-guarder" 2.702727264 793500 42.35000038 34 30 2.34890493
"181" "Neogobius_melanostomus" 0.15216 238 6 0.99679 0.07601 0.09211 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.3 0.89 "guarder" 2 2650 15.7 25 6.2 0.262929577
"182" "Nerophis_lumbriciformis" 0.17247 325 8 1 -0.03448 0.04079 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.03 1.3 "bearer" 0.545999998 357 13.6354722626929 17 8.7589621837768 1.052000046
"183" "Nerophis_ophidion" 0.17084 319 8 0.99943 -0.03488 0.04022 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.01 1.2 "bearer" 0.545999998 250 30.39999962 29 8.05519667610483 1.052000046
"184" "Nesiarchus_nasutus" 0.15004 224 6 1 -0.07891 -0.05021 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.33 1 "non-guarder" 4 1450000 105.4159419 130 30.5368038421231 0.203111573
"185" "Nettastoma_melanurum" 0.12897 90 3 0.99999 0.0171 0.00122 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.5 1.46 "non-guarder" 3.5 13444 60 77.3 52 0.400000006
"186" "Nezumia_aequalis" 0.13514 128 3 0.99651 0.01202 -0.03748 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.26 1.5 "non-guarder" 4 29976 29.875 36 4.5 0.129484417
"187" "Nezumia_sclerorhynchus" 0.14487 191 5 0.99994 0.0212 -0.05326 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.18 1.5 "non-guarder" 12.4000001 31226.33333 33.49366326 36 20.51871645 0.163479169
"188" "Notacanthus_bonaparte" 0.13351 116 3 0.9999 0.01834 -0.0161 "europe" "LC" "Least Concern" 1 "bathypelagic" "benthivorous" 3.93 1.3 "non-guarder" 2.17315865310983 30000 33.2182438723095 26 22 0.351773428
"189" "Osmerus_eperlanus" 0.14506 194 5 0.87691 0.03203 -0.02329 "europe" "LC" "Least Concern" 1 "pelagic" "planktivorous" 3.460000038 0.95 "non-guarder" 2 26938 33.12000008 32 12.75 0.234737487
"190" "Pagellus_acarne" 0.12931 92 3 0.97492 0.00924 0.00217 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.81 1 "non-guarder" 2.5 310500 28.83652602 37 15.42 0.249991448
"191" "Pagellus_bellottii" 0.11551 4 1 1 0.04389 0.0199 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.6 1.14 "non-guarder" 2 233500 36.52349917 30 14.4666666666667 0.27790033
"192" "Pagellus_bogaraveo" 0.14003 163 4 0.99878 -0.05927 -0.049 "europe" "NT" "Near Threatened" 1 "benthopelagic" "generalist" 4.21 1.2 "non-guarder" 2.5 285000 54.25526683 53 29.19625 0.128000006
"193" "Pagellus_erythrinus" 0.12842 83 2 0.99836 0.02607 0.00756 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.48 0.8 "non-guarder" 3 141600 51.70000076 60 14.3846153846154 0.136000007
"194" "Pagrus_auriga" 0.13292 110 3 0.99999 -0.00772 0.00463 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.84 1.19 "non-guarder" 2.35999999 856136 57.4490859809431 80 38.7 0.064999998
"195" "Pagrus_pagrus" 0.13387 119 3 0.9999 -0.00458 0.0013 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.86 0.9 "non-guarder" 1.933333317 2e+07 60.91597312 74.1 26.0833333333333 0.119157173
"196" "Parablennius_gattorugine" 0.15195 234 6 0.9999 0.0607 0.08886 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.59 1.24 "guarder" 2.2 500 24.7 30 14.1 0.620000005
"197" "Pegusa_lascaris" 0.12765 76 2 0.99764 0.07016 0.02013 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.29 1.35 "non-guarder" 4 5e+07 36.3 35 22 0.411994461
"198" "Perca_fluviatilis" 0.14689 204 5 0.99916 -0.04352 0.00875 "europe" "LC" "Least Concern" 1 "demersal" "piscivorous" 4.4 2.25 "non-guarder" 2.5108 36743 48.4 60 14.783 0.1553
"199" "Petromyzon_marinus" 0.14994 222 6 0.99991 -0.05914 0.01176 "europe" "LC" "Least Concern" 1 "demersal" "piscivorous" 4.369999886 1.1 "non-guarder" 5.3 234333 98.8 83.8 51.2 0.158999994
"200" "Pholis_gunnellus" 0.14675 201 5 0.99527 0.05659 0.08808 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.54 1.94 "guarder" 2 100 26.3 25 15 0.281060153
"201" "Phrynorhombus_norvegicus" 0.27428 414 10 0.99774 0.06906 -0.1242 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.98 1.04 "non-guarder" 1.3 1e+09 9.9 12 6 0.202004698
"202" "Physiculus_dalwigki" 0.15237 239 6 1 -0.06456 -0.05728 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.2 0.97 "non-guarder" 10.5 6e+07 42.59999847 30 33.4376402901395 0.150000006
"203" "Platichthys_flesus" 0.1198 32 1 0.38599 0.05834 0.02335 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.32 0.95 "non-guarder" 3.8 1177674 40.79999924 58 21.7727272727273 0.360000014
"204" "Pleuronectes_platessa" 0.12403 56 2 0.0631 0.05184 0.0286 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.23 2.17 "non-guarder" 3.5 552000 73.325 86 26.3363636363636 0.115000002
"205" "Pollachius_pollachius" 0.14952 217 6 0.9959 -0.07648 -0.05064 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.32 1.16 "non-guarder" 2.5 4535500 85.59999847 130 39.4 0.186000004
"206" "Pollachius_virens" 0.1394 157 4 0.86882 -0.05806 -0.01865 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.31 1.11 "non-guarder" 4.172857114 4535500 108.5 130 55.15 0.130314828
"207" "Polymetme_corythaeola" 0.31145 419 10 0.99989 -0.05683 -0.07223 "europe" "LC" "Least Concern" 1 "benthopelagic" "piscivorous" 4.4 0.8 "non-guarder" 0.25999999 109000 6.360000134 7 5.79900557108554 5.900000095
"208" "Polyprion_americanus" 0.14714 205 5 1 -0.06634 -0.01413 "europe" "NT" "Near Threatened" 1 "demersal" "generalist" 4.14 2.1 "non-guarder" 12.8 7450000 128.25 156 76.4 0.068177904
"209" "Pomatomus_saltatrix" 0.16348 283 7 0.99999 -0.08239 -0.05827 "europe" "NT" "Near Threatened" 1 "pelagic" "generalist" 4.53 1.05 "non-guarder" 2 402247 104.8309994 110 30.5 0.135000005
"210" "Pomatoschistus_lozanoi" 0.1732 331 8 0.9857 0.07043 0.04552 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.13 1 "guarder" 1 1003 8.600000381 8 5.10804505316583 0.889999986
"211" "Pomatoschistus_microps" 0.15555 253 6 0.99287 0.08131 0.09404 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.29 0.72 "guarder" 1 3517 11.19999981 5 2.92 0.294999987
"212" "Pomatoschistus_minutus" 0.17008 314 8 0.66041 0.10221 0.10024 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.22 1.15 "guarder" 1.1 3654 9.2 7.2 5.6 0.927999973
"213" "Pomatoschistus_norvegicus" 0.15604 256 6 0.9998 0.08294 0.09439 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.26 0.88 "guarder" 1 2995 9.199999809 8 5.61570184679706 0.294999987
"214" "Pomatoschistus_pictus" 0.16212 277 7 0.99989 0.09234 0.09848 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.12 0.78 "guarder" 1 1000 4.9 6 3.2 0.294999987
"215" "Pontinus_kuhlii" 0.1337 117 3 1 -0.05226 -0.05385 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 4.05 0.9 "non-guarder" 2 48851 52.43333435 49.5 24.5233441187065 0.084865538
"216" "Prionace_glauca" 0.27157 413 10 1 -0.20893 0.08678 "europe" "NT" "Near Threatened" 1 "pelagic" "piscivorous" 4.35 425 "bearer" 7.333333333 70 372.4285714 320 204.4 0.210065662
"217" "Protomyctophum_arcticum" 0.15833 267 7 1 0.07277 -0.03305 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3.1 0.5 "non-guarder" 0.533333331 3380 9.075000048 3.8 5.16197425767621 0.384722574
"218" "Pungitius_pungitius" 0.19762 375 9 0.99988 0.04207 0.01913 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.32 1.25 "guarder" 1.5 394 4.300000191 7.6 3.7 1.600000024
"219" "Raja_asterias" 0.1198 31 1 1 0.03032 0.02921 "europe" "NT" "Near Threatened" 1 "demersal" "benthivorous" 3.5 45 "non-guarder" 4.835000118 70 67.4 70 53.7 0.13268037
"220" "Raja_brachyura" 0.13092 101 3 0.99739 -0.03 -0.0104 "europe" "NT" "Near Threatened" 1 "demersal" "generalist" 3.76 90 "non-guarder" 4.835000118 52 128.5 115 88.2333333333333 0.149988502
"221" "Raja_clavata" 0.13081 99 3 0.96757 -0.03528 -0.01219 "europe" "NT" "Near Threatened" 1 "demersal" "generalist" 3.84 65 "non-guarder" 5.365000129 94 110.5333328 139 73.5823529411765 0.134355023
"222" "Raja_miraletus" 0.12059 35 1 0.9999 -0.01629 -0.01657 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.8 40 "non-guarder" 4.835000118 40 89.90000153 63 39.35 0.181045663
"223" "Raja_montagui" 0.12329 48 2 0.97377 -0.02421 -0.01681 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.88 60 "non-guarder" 3.775000095 42 73.56666565 77 59.54 0.192277518
"224" "Raja_undulata" 0.1305 98 3 0.99943 0.01655 0.04006 "europe" "NT" "Near Threatened" 1 "demersal" "benthivorous" 3.5 70 "non-guarder" 8.785 38 110.5 114 77.925 0.104861559
"225" "Rajella_bathyphila" 0.13617 135 4 0.99999 0.00794 0.00956 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.37 48 "non-guarder" 5 55 108.1083333 90 65 0.128473825
"226" "Rajella_lintea" 0.14949 216 6 1 -0.0176 0.01802 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.51 153.33 "non-guarder" 10.66666667 40 103.5431965 125 97 0.057
"227" "Raniceps_raninus" 0.11736 13 1 0.99995 0.02757 0.02015 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.77 0.82 "non-guarder" 2 2549502 61.84444427 27.5 13.3 0.170454901
"228" "Rostroraja_alba" 0.18276 353 9 0.99999 -0.09621 0.02769 "europe" "CR" "Critically Endangered" 2 "demersal" "piscivorous" 4.409999847 154 "non-guarder" 4.952500105 104 200 230 129.4 0.13268037
"229" "Rouleina_attrita" 0.12974 94 3 0.9998 -0.00624 -0.05737 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.67 2.7 "non-guarder" 3.64127285846563 3754 50.73333359 48 27.5 0.129190112
"230" "Rutilus_rutilus" 0.1449 192 5 0.99996 0.01939 -0.03974 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3 1.3345 "non-guarder" 2.5 83938 43.72 50.2 14 0.1373
"231" "Salmo_salar" 0.16293 280 7 0.99995 -0.0894 -0.05244 "europe" "VU" "Vulnerable" 2 "benthopelagic" "generalist" 4.5 5.73 "non-guarder" 4.190909109 9606 136.5 147 51.68 0.349523332
"232" "Sander_lucioperca" 0.20128 380 9 0.99828 -0.09425 0.05753 "europe" "LC" "Least Concern" 1 "pelagic" "piscivorous" 4.4 0.9 "guarder" 4 685311 98.49480171 130 34.2888888888889 0.119743974
"233" "Sarda_sarda" 0.17561 342 9 0.9998 -0.07253 -0.02753 "europe" "LC" "Least Concern" 1 "pelagic" "piscivorous" 4.5 1.14 "non-guarder" 1 1999479 76.71250057 91 38.7333333333333 0.497832087
"234" "Sardina_pilchardus" 0.15955 270 7 0.50412 0.05907 -0.02095 "europe" "NT" "Near Threatened" 1 "pelagic" "planktivorous" 3.06 1.3 "non-guarder" 1.74000001 169000 19.5 27 14.5636363636364 0.357535654
"235" "Sarpa_salpa" 0.2131 396 10 0.99996 0.06384 -0.01297 "europe" "LC" "Least Concern" 1 "benthopelagic" "herbivorous" 2 1.14 "non-guarder" 2 856136 43.96666718 45.2 15.5 0.228031975
"236" "Scomber_colias" 0.13749 143 4 0.94573 -0.02804 -0.05089 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 3.91 1.15 "non-guarder" 0.983333333333333 579085 40.11666679 50 20.74 0.308361124
"237" "Scomber_japonicus" 0.14664 200 5 0.99602 0.03081 -0.02232 "europe" "LC" "Least Concern" 1 "pelagic" "planktivorous" 3.38 1.1 "non-guarder" 2 540129 43.38217346 64 30.3142857142857 0.270663568
"238" "Scomber_scombrus" 0.13375 118 3 0.00127 -0.00747 -0.04535 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 3.63 1.15 "non-guarder" 2.179999971 598563 43.67499924 50 28.49 0.352649977
"239" "Scopelogadus_beanii" 0.14821 209 5 0.99999 0.00164 -0.04126 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3.88 0.5 "non-guarder" 8 42700 18 12.2 13.7981719681638 0.109999999
"240" "Scophthalmus_rhombus" 0.27746 415 10 0.99093 0.0769 -0.06787 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 4.42 1.3 "non-guarder" 3 1e+09 43.75 46 25 0.421539807
"241" "Scorpaena_loppei" 0.12205 43 1 0.99989 0.06263 0.02128 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.5 0.9 "non-guarder" 1 103000 11.67499971 12.8 7.16915857436534 0.507642523
"242" "Scorpaena_notata" 0.11748 15 1 0.99996 0.04049 0.01948 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.7 0.88 "non-guarder" 2 15000 17.85000006 17.9 11.5 0.307325473
"243" "Scorpaena_porcus" 0.11886 28 1 0.99999 0.01801 0.01982 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.92 0.92 "non-guarder" 3 50000 26.43853607 30 15 0.171115205
